ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Position,Jersey Number,Joined,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Feet,Inches
158023,L. Messi,31,Argentina,94,94,FC Barcelona,110.5,$565 ,Left,5,4,4,Medium/ Medium,RF,10,1-Jul-04,2021,67,159,84,95,70,90,86,97,93,94,87,96,91,86,91,95,95,85,68,72,59,94,48,22,94,94,75,96,33,28,26,6,11,15,14,8,5,7
20801,Cristiano Ronaldo,33,Portugal,94,94,Juventus,77,$405 ,Right,5,4,5,High/ Low,ST,7,10-Jul-18,2022,74,183,84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,7,11,15,14,11,6,2
190871,Neymar Jr,26,Brazil,92,93,Paris Saint-Germain,118.5,$290 ,Right,5,5,5,High/ Medium,LW,10,3-Aug-17,2022,69,150,79,87,62,84,84,96,88,87,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,81,94,27,24,33,9,9,15,15,11,5,9
193080,De Gea,27,Spain,91,93,Manchester United,72,$260 ,Right,4,3,1,Medium/ Medium,GK,1,1-Jul-11,2020,76,168,17,13,21,50,13,18,21,19,51,42,57,58,60,90,43,31,67,43,64,12,38,30,12,68,40,68,15,21,13,90,85,87,88,94,6,4
192985,K. De Bruyne,27,Belgium,91,92,Manchester City,102,$355 ,Right,4,5,4,High/ High,RCM,7,30-Aug-15,2023,71,154,93,82,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,61,87,94,79,88,68,58,51,15,13,5,10,13,5,11
183277,E. Hazard,27,Belgium,91,91,Chelsea,93,$340 ,Right,4,4,4,High/ Medium,LF,10,1-Jul-12,2020,68,163,81,84,61,89,80,95,83,79,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8,5,8
177003,L. Modri?,32,Croatia,91,91,Real Madrid,67,$420 ,Right,4,4,4,High/ High,RCM,10,1-Aug-12,2020,68,146,86,72,55,93,76,90,85,78,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,82,84,60,76,73,13,9,7,14,9,5,8
176580,L. Suárez,31,Uruguay,91,91,FC Barcelona,80,$455 ,Right,5,4,3,High/ Medium,RS,9,11-Jul-14,2021,72,190,77,93,77,82,88,87,86,84,64,90,86,75,82,92,83,86,69,90,83,85,87,41,92,84,85,85,62,45,38,27,25,31,33,37,6,0
155862,Sergio Ramos,32,Spain,91,91,Real Madrid,51,$380 ,Right,4,3,3,High/ Medium,RCB,15,1-Aug-05,2020,72,181,66,60,91,78,66,63,74,72,77,84,76,75,78,85,66,79,93,84,83,59,88,90,60,63,75,82,87,92,91,11,8,9,7,11,6,0
200389,J. Oblak,25,Slovenia,90,93,Atlético Madrid,68,$94 ,Right,3,3,1,Medium/ Medium,GK,1,16-Jul-14,2021,74,192,13,11,15,29,13,12,13,14,26,16,43,60,67,86,49,22,76,41,78,12,34,19,11,70,11,70,27,12,18,86,92,78,88,89,6,2
188545,R. Lewandowski,29,Poland,90,90,FC Bayern München,77,$205 ,Right,4,4,4,High/ Medium,ST,9,1-Jul-14,2021,72,176,62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,88,86,34,42,19,15,6,12,8,10,6,0
182521,T. Kroos,28,Germany,90,90,Real Madrid,76.5,$355 ,Right,4,5,3,Medium/ Medium,LCM,8,17-Jul-14,2022,72,168,88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,73,85,72,79,69,10,11,13,7,10,6,0
182493,D. Godín,32,Uruguay,90,90,Atlético Madrid,44,$125 ,Right,3,3,2,Medium/ High,CB,10,4-Aug-10,2019,74,172,55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,88,43,89,88,48,52,50,82,90,89,89,6,8,15,5,15,6,2
168542,David Silva,32,Spain,90,90,Manchester City,60,$285 ,Left,4,2,4,High/ Medium,LCM,21,14-Jul-10,2020,68,148,84,76,54,93,82,89,82,77,87,94,70,64,92,90,90,72,64,78,52,75,57,50,89,92,75,93,59,53,29,6,15,7,6,12,5,8
215914,N. Kanté,27,France,89,90,Chelsea,63,$225 ,Right,3,3,2,Medium/ High,LDM,13,16-Jul-16,2023,66,159,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,85,90,91,85,15,12,10,7,10,5,6
211110,P. Dybala,24,Argentina,89,94,Juventus,89,$205 ,Left,3,3,4,High/ Medium,LF,21,1-Jul-15,2022,70,165,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,5,4,4,5,8,5,10
202126,H. Kane,24,England,89,91,Tottenham Hotspur,83.5,$205 ,Right,3,4,3,High/ High,ST,9,1-Jul-10,2024,74,196,75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38,8,10,11,14,11,6,2
194765,A. Griezmann,27,France,89,90,Atlético Madrid,78,$145 ,Left,4,3,4,High/ High,CAM,7,28-Jul-14,2023,69,161,82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,79,87,59,47,48,14,8,14,13,14,5,9
192448,M. ter Stegen,26,Germany,89,92,FC Barcelona,58,$240 ,Right,3,4,1,Medium/ Medium,GK,22,1-Jul-14,2022,74,187,15,14,11,36,14,17,18,12,42,18,38,50,37,85,43,22,79,35,79,10,43,22,11,69,25,69,25,13,10,87,85,88,85,90,6,2
192119,T. Courtois,26,Belgium,89,90,Real Madrid,53.5,$240 ,Left,4,2,1,Medium/ Medium,GK,1,9-Aug-18,2024,78,212,14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,27,66,20,18,16,85,91,72,86,88,6,6
189511,Sergio Busquets,29,Spain,89,89,FC Barcelona,51.5,$315 ,Right,4,3,3,Medium/ Medium,CDM,5,1-Sep-08,2023,74,168,62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,60,90,90,86,80,5,8,13,9,13,6,2
179813,E. Cavani,31,Uruguay,89,89,Paris Saint-Germain,60,$200 ,Right,4,4,3,High/ High,LS,21,16-Jul-13,2020,73,170,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39,12,5,13,13,10,6,1
167495,M. Neuer,32,Germany,89,89,FC Bayern München,38,$130 ,Right,5,4,1,Medium/ Medium,GK,1,1-Jul-11,2021,76,203,15,13,25,55,11,30,14,11,59,48,54,60,51,84,35,25,77,43,80,16,29,30,12,70,47,70,17,10,11,90,86,91,87,87,6,4
153079,S. Agüero,30,Argentina,89,89,Manchester City,64.5,$300 ,Right,4,4,4,High/ Medium,ST,10,28-Jul-11,2021,68,154,70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,83,90,30,20,12,13,15,6,11,14,5,8
138956,G. Chiellini,33,Italy,89,89,Juventus,27,$215 ,Left,4,3,2,Medium/ High,LCB,3,1-Jul-05,2020,74,187,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,93,93,90,3,3,2,4,3,6,2
231747,K. Mbappé,19,France,88,95,Paris Saint-Germain,81,$100 ,Right,3,4,5,High/ Medium,RM,10,1-Jul-18,2022,70,161,77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,70,86,34,34,32,13,5,7,11,6,5,10
209331,M. Salah,26,Egypt,88,89,Liverpool,69.5,$255 ,Left,3,3,4,High/ Medium,RM,10,1-Jul-17,2023,69,157,78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,61,91,38,43,41,14,14,9,11,14,5,9
200145,Casemiro,26,Brazil,88,90,Real Madrid,59.5,$285 ,Right,3,3,2,Medium/ High,CDM,14,11-Jul-13,2021,73,185,52,59,76,85,53,69,59,74,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,66,84,88,90,87,13,14,16,12,12,6,1
198710,J. Rodríguez,26,Colombia,88,89,FC Bayern München,69.5,$315 ,Left,4,3,4,Medium/ Medium,LAM,10,,30-Jun-19,71,172,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,89,81,87,52,41,44,15,15,15,5,14,5,11
198219,L. Insigne,27,Italy,88,88,Napoli,62,$165 ,Right,3,3,4,High/ Medium,LW,10,1-Jul-10,2022,64,130,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22,8,4,14,9,10,5,4
197781,Isco,26,Spain,88,91,Real Madrid,73.5,$315 ,Right,3,3,4,High/ Medium,LW,22,3-Jul-13,2022,69,174,75,79,55,89,65,94,88,76,83,95,75,69,87,77,90,69,64,70,59,87,58,64,78,89,76,86,60,64,51,10,8,12,15,6,5,9
190460,C. Eriksen,26,Denmark,88,91,Tottenham Hotspur,73.5,$205 ,Right,3,5,4,High/ Medium,CAM,10,30-Aug-13,2020,71,168,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,9,14,7,7,6,5,11
189242,Coutinho,26,Brazil,88,89,FC Barcelona,69.5,$340 ,Right,3,4,5,High/ High,LW,7,6-Jan-18,2023,68,150,79,79,48,88,75,91,91,86,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,70,85,55,54,47,12,7,9,14,6,5,8
